master_id,L_CODE,E_CODE,E_NAME,L_NAME,CDS_DBF,EQPT_DBF,OPEN_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,JOB_NO1,JOB_DT1,JOB_QT1,MT_LP1,ENGR_LP1,ORD_LP1,JOB_NO2,JOB_DT2,JOB_QT2,MT_LP2,ENGR_LP2,ORD_LP2,JOB_NO3,JOB_DT3,JOB_QT3,MT_LP3,ENGR_LP3,ORD_LP3,JOB_NO4,JOB_DT4,JOB_QT4,MT_LP4,ENGR_LP4,ORD_LP4,JOB_NO5,JOB_DT5,JOB_QT5,MT_LP5,ENGR_LP5,ORD_LP5,JOB_NO6,JOB_DT6,JOB_QT6,MT_LP6,ENGR_LP6,ORD_LP6,JOB_NO7,JOB_DT7,JOB_QT7,MT_LP7,ENGR_LP7,ORD_LP7,JOB_NO8,JOB_DT8,JOB_QT8,MT_LP8,ENGR_LP8,ORD_LP8,LOCK_DT1,LOCK_DT2,LOCK_DT3,LOCK_DT4,LOCK_DT5,LOCK_DT6,LOCK_DT7,LOCK_DT8,OPT,GROUP,S_CODE,F_HEAD,NEW_CDS,ACT,Ledger_code,eqpt_code
57,68,70,TATA JD,TATAJD,TATAJD_CH,TATAJD_CH2,2018-08-06,,3,,CC,53,2018-04-16,1,,,,55,2018-04-16,1,,,,250,2018-09-21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,,68,70
78,79,90,BD80 Engine,BD80A12E,BD80_ENG,BD80_ENG1,2018-08-09,,6,,CE,141,2015-08-31,1,,,,381,2016-03-04,1,,,,202,2017-10-28,1,,,,216,2018-07-30,1,,,,14,2018-04-06,1,,,,308,2018-12-04,1,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,02,MT,Y,,79,90
80,81,92,BD50 Engine,BD50A15E,BD50_ENG,BD50_ENG1,2018-08-09,,1,,CE,56,2015-07-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG CDS,02,ENGR,Y,,81,92
29,38,38,D80A12 Engine,D80ENG,D80_ENG,D80_ENG1,2018-08-09,,6,,CE,04,2016-04-01,1,,,,54,2015-07-08,1,,,,213,2016-08-08,1,,,,245,2016-01-07,2,,,,47,2017-06-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG CDS,02,ENGR,Y,,38,38
31,40,40,D50 Engine,D50ENG,D50_ENG,D50_ENG1,2018-08-09,,2,,CE,195,2017-10-28,1,,,,196,2017-10-28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG CDS,02,ENGR,Y,Y,40,40
71,23,84,Scania Engine,SCANIA,SCAN_ENG,SCAN_ENG2,2018-08-13,,8,,BE,201,2018-07-23,1,,,,202,2018-07-23,1,,,,203,2018-07-23,1,,,,204,2018-07-23,1,,,,205,5208-07-23,1,,,,206,2018-07-23,1,,,,207,2018-07-23,1,,,,109,2017-08-05,1,,,,,,,,,,,,0,SCAN CDS,06,MT,Y,,23,84
18,26,26,Kraz 255B Chassis,K255CH,KRZ_255CH,KRZ_255_2,2018-08-13,,8,,BC,290,2018-03-20,1,0,0,0,169,2018-07-02,1,0,0,0,172,2018-07-06,1,,,,182,2018-07-13,1,,,,183,2018-07-13,1,,,,197,2018-07-18,1,,,,274,2018-10-26,1,,,,275,2018-10-26,1,,,,,,,,,,,,0,KRAZ CDS,03,MT,Y,,26,26
33,44,44,G14D1ENG,G14D1E,G14D1_ENG,G14D1ENG,2018-08-14,,2,,CE,216,2017-12-01,1,,,,286,2018-03-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,02,MT,Y,Y,44,44
25,34,34,MGENG,MG605E,MG_ENG,MGENG,2018-08-14,,0,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,02,MT,Y,Y,34,34
28,37,37,BD80A12,D80CH,BD80_CH,BD80_CH2,2018-08-17,,2,,CC,201,2017-10-28,1,0,44214,16965,13,2018-04-06,1,0,86691,8595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,,37,37
