L_CODE,E_CODE,E_NAME,DEM_NO,DEM_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,N1,N2,N3,N4,N5,N6,N7,N8,N9,D_LOCK,YN,JOB_NO,JOB_DT,CTRL_NO,CTRL_DT,OPT,DEM,FULL_RECD,PART_RECD,OUTS,PER_RECD,DEP_DELE,IN_IIL,IN_CVIL,CRITICAL,CTRL_NA,VED,VED_FULL,VED_PART,VED_OUTS,VED_PER,VED_DELE,VED_IIL,VED_CVIL,VED_CRI,VED_CTRLNA,CONS_FM,CONS_TO,CONS_EQPT,LAST_SOUPD,DEMD,FULL_RECDD,PART_RECDD,OUTSD,DEP_DELED,IN_IILD,IN_CVILD,CRITICALD,CTRL_NAD,VEDD,VED_FULLD,VED_PARTD,VED_OUTSD,VED_DELED,VED_IILD,VED_CVILD,VED_CRID,VED_CTLNAD
43,43,G14D1 CH,66,2004-12-04,,,2004-2005,SPD,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,Y,,,,,0,24,0,0,24,0.0,0,0,0,0,24,3,0,0,3,0.0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,
45,45,P4ENG,67,2004-12-07,,,2004-2005,SPD,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,,Y,,,,,0,15,0,0,15,0.0,0,0,0,0,15,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,68,2004-12-15,,,2004-2005,SPD,24.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,4.17,,Y,,,,,0,24,1,0,23,4.17,0,0,0,0,24,16,0,0,16,0.0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,7,2005-05-10,,,2005-2006,SPD,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,Y,,,G/FD/11,2005-05-27,0,19,1,0,18,5.26,0,0,0,0,19,10,1,0,9,10.0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,
43,43,G14D1 CH,70,2004-12-24,,,2004-2005,SPD,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
52,52,MPE,71,2005-01-04,,,2003-2004,SPD,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,,Y,,,,,0,29,0,0,29,0.0,0,0,0,0,29,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
43,43,G14D1 CH,73,2005-01-05,,,2004-2005,SPD,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,,Y,,,,,0,59,0,0,59,0.0,0,0,0,0,59,11,0,0,11,0.0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,
52,52,MPE,74,2005-01-08,,,2004-2005,SPD,65.0,0.0,0.0,0.0,0.0,11.0,5.0,49.0,16.92,,Y,,,,,0,65,11,5,54,16.92,0,0,0,0,65,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,75,2005-01-10,,,2004-2005,SPD,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,Y,,,,,0,6,0,0,6,0.0,0,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
49,49,MML,77,2005-02-26,,,2004-2005,SPD,144.0,0.0,0.0,0.0,0.0,63.0,1.0,80.0,43.75,,Y,,,,,0,144,63,1,81,43.75,0,0,0,0,144,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
